username;Data;stories
ocupa_politica;22/5/2018-8:32;0
agoramovimento;22/5/2018-8:32;1
as_muitas;22/5/2018-8:32;0
bancadaativista;22/5/2018-8:32;0
renovabr;22/5/2018-8:32;2
midianinja;22/5/2018-8:32;0
342artes;22/5/2018-8:32;0
movimentosemterra;22/5/2018-8:32;0
movimentolutanosbairros;22/5/2018-8:32;0
uneoficial;22/5/2018-8:32;16
cutbrasil;22/5/2018-8:32;0
coletivojuntos;22/5/2018-8:32;9
movimentocorrenteza;22/5/2018-8:32;0
ujs_brasil;22/5/2018-8:32;6
ujr_brasil;22/5/2018-8:32;0
movimentoolga;22/5/2018-8:32;0
ubesoficial;22/5/2018-8:33;1
ujcbrasil;22/5/2018-8:33;0
rua_juventudeanticapitalista;22/5/2018-8:33;4
afronte.nacional;22/5/2018-8:33;4
contag;22/5/2018-8:33;0
portalgeledes;22/5/2018-8:33;0
marchamulheres;22/5/2018-8:33;1
naokahlo;22/5/2018-8:33;1
vemprarua_br;22/5/2018-8:33;0
revoltadoson;22/5/2018-8:33;0
estudantespelaliberdade;22/5/2018-8:33;0
mblivre;22/5/2018-8:33;3
movimentocontraacorrupcao;22/5/2018-8:33;0
nasruasbrasil;22/5/2018-8:33;0
luizinacioluladasilvaoficial;22/5/2018-8:33;0
fernandohaddadoficial;22/5/2018-8:33;0
cirogomes;22/5/2018-8:33;2
jdoriajr;22/5/2018-8:33;1
geraldoalckmin_;22/5/2018-8:33;0
jairmessiasbolsonaro;22/5/2018-8:33;1
micheltemer;22/5/2018-8:33;0
_marinasilva_;22/5/2018-8:33;0
levyfidelix28;22/5/2018-8:33;0
pastoreveraldo;22/5/2018-8:33;0
robertoljustus;22/5/2018-8:33;1
guilhermeboulos.oficial;22/5/2018-8:33;12
jaqueswagner;22/5/2018-8:33;0
fernando_collor;22/5/2018-8:33;0
buarquecristovam;22/5/2018-8:33;0
