username;Data;stories
ocupa_politica;29/5/2018-23:48;0
agoramovimento;29/5/2018-23:48;1
as_muitas;29/5/2018-23:48;0
bancadaativista;29/5/2018-23:48;0
renovabr;29/5/2018-23:48;1
midianinja;29/5/2018-23:48;3
342artes;29/5/2018-23:48;0
movimentosemterra;29/5/2018-23:48;10
movimentolutanosbairros;29/5/2018-23:48;0
uneoficial;29/5/2018-23:48;7
cutbrasil;29/5/2018-23:48;1
coletivojuntos;29/5/2018-23:48;0
movimentocorrenteza;29/5/2018-23:48;1
ujs_brasil;29/5/2018-23:48;2
ujr_brasil;29/5/2018-23:48;0
movimentoolga;29/5/2018-23:48;0
ubesoficial;29/5/2018-23:48;7
ujcbrasil;29/5/2018-23:48;0
rua_juventudeanticapitalista;29/5/2018-23:48;11
afronte.nacional;29/5/2018-23:48;3
contag;29/5/2018-23:48;0
portalgeledes;29/5/2018-23:48;0
marchamulheres;29/5/2018-23:48;0
naokahlo;29/5/2018-23:48;3
vemprarua_br;29/5/2018-23:48;1
revoltadoson;29/5/2018-23:48;0
estudantespelaliberdade;29/5/2018-23:48;0
mblivre;29/5/2018-23:48;6
movimentocontraacorrupcao;29/5/2018-23:48;0
nasruasbrasil;29/5/2018-23:48;0
luizinacioluladasilvaoficial;29/5/2018-23:48;4
fernandohaddadoficial;29/5/2018-23:48;0
cirogomes;29/5/2018-23:48;6
jdoriajr;29/5/2018-23:48;0
geraldoalckmin_;29/5/2018-23:48;0
jairmessiasbolsonaro;29/5/2018-23:48;1
micheltemer;29/5/2018-23:48;2
_marinasilva_;29/5/2018-23:48;2
levyfidelix28;29/5/2018-23:48;0
pastoreveraldo;29/5/2018-23:48;0
robertoljustus;29/5/2018-23:48;0
guilhermeboulos.oficial;29/5/2018-23:48;4
jaqueswagner;29/5/2018-23:48;0
fernando_collor;29/5/2018-23:51;0
buarquecristovam;29/5/2018-23:51;0
