username;Data;stories
username;Data;stories
ocupa_politica;25/5/2018-0:14;0
agoramovimento;25/5/2018-0:14;6
as_muitas;25/5/2018-0:14;0
bancadaativista;25/5/2018-0:14;0
renovabr;25/5/2018-0:14;4
midianinja;25/5/2018-0:14;5
342artes;25/5/2018-0:14;0
movimentosemterra;25/5/2018-0:14;2
movimentolutanosbairros;25/5/2018-0:14;1
uneoficial;25/5/2018-0:14;5
cutbrasil;25/5/2018-0:14;0
coletivojuntos;25/5/2018-0:14;11
movimentocorrenteza;25/5/2018-0:14;0
ujs_brasil;25/5/2018-0:14;2
ujr_brasil;25/5/2018-0:14;0
movimentoolga;25/5/2018-0:14;0
ubesoficial;25/5/2018-0:14;0
ujcbrasil;25/5/2018-0:14;0
rua_juventudeanticapitalista;25/5/2018-0:14;12
afronte.nacional;25/5/2018-0:14;1
contag;25/5/2018-0:14;0
portalgeledes;25/5/2018-0:14;0
marchamulheres;25/5/2018-0:14;0
naokahlo;25/5/2018-0:14;1
vemprarua_br;25/5/2018-0:14;0
revoltadoson;25/5/2018-0:14;0
estudantespelaliberdade;25/5/2018-0:14;0
mblivre;25/5/2018-0:14;6
movimentocontraacorrupcao;25/5/2018-0:14;0
nasruasbrasil;25/5/2018-0:14;0
luizinacioluladasilvaoficial;25/5/2018-0:14;0
fernandohaddadoficial;25/5/2018-0:14;0
cirogomes;25/5/2018-0:14;0
jdoriajr;25/5/2018-0:14;7
geraldoalckmin_;25/5/2018-0:14;4
jairmessiasbolsonaro;25/5/2018-0:14;1
micheltemer;25/5/2018-0:14;2
_marinasilva_;25/5/2018-0:14;0
levyfidelix28;25/5/2018-0:14;0
pastoreveraldo;25/5/2018-0:14;0
robertoljustus;25/5/2018-0:14;0
guilhermeboulos.oficial;25/5/2018-0:15;33
jaqueswagner;25/5/2018-0:15;1
fernando_collor;25/5/2018-0:15;4
buarquecristovam;25/5/2018-0:15;0
